commune,count,count_per_surfacekm2,count_per100_inhabitants,top5breeds,top5names
Sigriswil,841.0,15.2,17.4,"Braunkoepfiges_Fleischschaf  159, Schwarzbraunes_Bergschaf  146, Heidschnucke  92, Kreuzung  44, Nolana  21",
Ayent,155.0,2.8,3.7,"Kreuzung  40, Suffolk  15, Weisses_Alpenschaf  15, Ouessant  5",
Jaun,1118.0,20.2,176.6,"Schwarzbraunes_Bergschaf  190, Kreuzung  189, Braunkoepfiges_Fleischschaf  184, Weisses_Alpenschaf  180, Engadinerschaf  59",
Leuk,190.0,3.4,4.8,"Walliser_Schwarznasenschaf  95, Ouessant  11, Walliser_Landschaf  6",
Guggisberg,344.0,6.3,23.1,"Walliser_Landschaf  114, Schwarzbraunes_Bergschaf  79, Spiegelschaf  28, Braunkoepfiges_Fleischschaf  23, Skudde  20",
Eschenbach (SG),978.0,17.8,10.2,"Weisses_Alpenschaf  313, Nolana  197, Kreuzung  127, Suffolk  49, Dorper  16",
Grabs,921.0,16.9,12.8,"Braunkoepfiges_Fleischschaf  272, Schwarzbraunes_Bergschaf  162, Weisses_Alpenschaf  41, Scottish_Blackface  23, Spiegelschaf  15",Fuchs  5
Randa,113.0,2.1,26.6,Walliser_Schwarznasenschaf  110,
Chur,362.0,6.7,1.0,"Weisses_Alpenschaf  138, Lacaune  58, Shropshire  44, Suffolk  19, Kreuzung  14",
Estavayer,184.0,4.6,1.8,"Kreuzung  58, Schwarzbraunes_Bergschaf  44, Weisses_Alpenschaf  33, Oxford  18, Charollais_Suisse  6",
Muntogna da Schons,91.0,1.7,25.1,"Kreuzung  33, Weisses_Alpenschaf  31, Engadinerschaf  18",
Salvan,,,,,
Centovalli,62.0,1.2,5.5,"Engadinerschaf  56, Ouessant  5",
Schwyz,858.0,16.1,5.6,"Weisses_Alpenschaf  383, Schwarzbraunes_Bergschaf  65, Suffolk  53, Kreuzung  50, Engadinerschaf  47",Schwarz  5
Bürglen (UR),1438.0,27.1,36.6,"Weisses_Alpenschaf  564, Kreuzung  306, Schwarzbraunes_Bergschaf  186, Spiegelschaf  23, Suffolk  18",
Trun,266.0,5.1,22.9,"Schwarzbraunes_Bergschaf  117, Weisses_Alpenschaf  72, Buendner_Oberlaender_Schaf  17, Engadinerschaf  8, Ouessant  8",
Arzier-Le Muids,480.0,9.2,16.5,"Charollais_Suisse  237, Kreuzung  56, Schwarzbraunes_Bergschaf  9",
Visperterminen,475.0,9.2,35.8,"Walliser_Schwarznasenschaf  446, Walliser_Landschaf  24",Doris  14
Bern,256.0,5.0,0.2,"Heidschnucke  152, Weisses_Alpenschaf  17, Walliser_Landschaf  15, Braunkoepfiges_Fleischschaf  13, Engadinerschaf  11",
Wattwil,623.0,12.2,7.0,"Ostfriesisches_Milchschaf  159, Weisses_Alpenschaf  87, Lacaune  71, Kreuzung  51, Schwarzbraunes_Bergschaf  39",
Köniz,505.0,9.9,1.2,"Kreuzung  160, Braunkoepfiges_Fleischschaf  86, Texel  79, Skudde  51, Schwarzbraunes_Bergschaf  20",
Habkern,50.0,1.0,7.9,"Nolana  16, Walliser_Schwarznasenschaf  14, Schwarzbraunes_Bergschaf  13",
Lostallo,77.0,1.5,9.2,"Scottish_Blackface  33, Ouessant  6, Kreuzung  5",
Mosnang,496.0,9.8,17.2,"Schwarzbraunes_Bergschaf  101, Kreuzung  94, Weisses_Alpenschaf  92, Engadinerschaf  30, Walliser_Schwarznasenschaf  28",Schwarz  8
Flims,15.0,0.3,0.5,Engadinerschaf  14,
Samedan,10.0,0.1,0.3,,
